project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0.25,false,PACKAGE,1,5,0.909090909090909,false,85,4,0.00119609528808963,0,PACKAGE,/data/logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/builders/rolling/package-info.java,log4j-1.2-api/src/main/java/org/apache/log4j/builders/rolling/package-info.java,org.apache.log4j.builders.rolling,rolling,0,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,1,3,0.8,false,23,1,0.00514891028440741,0,PACKAGE,/data/logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/util/package-info.java,log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/util/package-info.java,org.apache.logging.log4j.core.test.util,util,8279,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,28,9,0.171428571428571,false,299,8,0.00848297671498081,0,PACKAGE,/data/logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/appender/package-info.java,log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/appender/package-info.java,org.apache.logging.log4j.core.test.appender,appender,8287,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,2,2,0.428571428571429,false,286,6,0.00138032614749158,0,PACKAGE,/data/logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/smtp/package-info.java,log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/smtp/package-info.java,org.apache.logging.log4j.core.test.smtp,smtp,8299,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,2,0,1,false,0,1,0.0028250290466283,0,PACKAGE,.,.,org.apache.logging.log4j.core.test.internal,internal,8307,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0.2,false,PACKAGE,39,13,0.0756013745704467,false,513,15,0.0138852235390562,0,PACKAGE,/data/logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/junit/package-info.java,log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/junit/package-info.java,org.apache.logging.log4j.core.test.junit,junit,8315,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,1,0,0,false,46,3,0.00119587428013311,0,PACKAGE,/data/logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/hamcrest/package-info.java,log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/hamcrest/package-info.java,org.apache.logging.log4j.core.test.hamcrest,hamcrest,8327,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,1,false,PACKAGE,2,4,0.666666666666667,false,41,1,0.00154247273859003,0,PACKAGE,/data/logging-log4j2/log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/layout/package-info.java,log4j-core-test/src/main/java/org/apache/logging/log4j/core/test/layout/package-info.java,org.apache.logging.log4j.core.test.layout,layout,8335,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,1,false,PACKAGE,4,0,0,false,5,1,0.00195501879716016,0,PACKAGE,.,.,org.apache.log4j.internal.annotation,annotation,8344,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,0,1,1,false,34,3,0.00112368277164334,0,PACKAGE,/data/logging-log4j2/log4j-slf4j-impl/src/main/java/org/slf4j/impl/package-info.java,log4j-slf4j-impl/src/main/java/org/slf4j/impl/package-info.java,org.slf4j.impl,impl,154,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,1,3,0.333333333333333,false,507,11,0.00130502896074728,0,PACKAGE,/data/logging-log4j2/log4j-iostreams/src/main/java/org/apache/logging/log4j/io/internal/package-info.java,log4j-iostreams/src/main/java/org/apache/logging/log4j/io/internal/package-info.java,org.apache.logging.log4j.io.internal,internal,214,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,1,18,1,false,497,6,0.00169013151836329,0,PACKAGE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/package-info.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/package-info.java,org.apache.logging.log4j.core.appender.mom,mom,8441,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0.444444444444444,false,PACKAGE,3,13,0.85,false,584,9,0.00145336673556918,0,PACKAGE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/package-info.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/nosql/package-info.java,org.apache.logging.log4j.core.appender.nosql,nosql,24889,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,0,12,1,false,524,4,0.00112368277164334,0,PACKAGE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/jeromq/package-info.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/jeromq/package-info.java,org.apache.logging.log4j.core.appender.mom.jeromq,jeromq,8515,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0.142857142857143,false,PACKAGE,1,14,0.966666666666667,false,457,7,0.00126351435238642,0,PACKAGE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/kafka/package-info.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/mom/kafka/package-info.java,org.apache.logging.log4j.core.appender.mom.kafka,kafka,8527,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0.04,false,PACKAGE,5,9,0.379310344827586,false,967,25,0.00209897487284663,0,PACKAGE,/data/logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/net/ssl/package-info.java,log4j-core/src/main/java/org/apache/logging/log4j/core/net/ssl/package-info.java,org.apache.logging.log4j.core.net.ssl,ssl,8536,container
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,PACKAGE,0,2,1,false,0,1,0.00112368277164334,0,PACKAGE,.,.,org.apache.logging.log4j.spring.cloud.config,config,405,container
