project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,39.6857681492634,3.30714734577195,0,CONTAINER,PACKAGE,"[org.apache.log4j.bridge, org.apache.log4j.helpers, org.apache.log4j]",55462;54440;54858,0,,0,0,0,3.66666666666667,1,5,0.000024252258139082,1,3.30714734577195,CIRCLE,3,144,1,0.471404520791032,0.816496580927726,0,0,cyclicDep,158113,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,54.3144894301567,4.26734931030543,0,CONTAINER,PACKAGE,"[org.apache.log4j.bridge, org.apache.log4j.helpers, org.apache.log4j, org.apache.log4j.spi]",54664;55462;54440;54297,0,,0,0,0,3.75,1.5,11,0.0000225818126397115,1,4.26734931030543,CIRCLE,4,162,1,0.433012701892219,0.763762615825973,0,0,cyclicDep,158120,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,28.9811565018844,3.43943049696819,0,CONTAINER,PACKAGE,"[org.apache.log4j.bridge, org.apache.log4j.helpers, org.apache.log4j.spi]",54664;55462;55281,0,,0,0,0,4,1.66666666666667,5,0.0000163132301867449,1,3.43943049696819,CIRCLE,3,71,1,0,0.471404520791032,0,0,cyclicDep,158128,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,43.4888998022167,4.41562876400609,0,CONTAINER,PACKAGE,"[org.apache.log4j.bridge, org.apache.log4j.helpers, org.apache.log4j.or, org.apache.log4j, org.apache.log4j.spi]",55202;54664;55462;54440;55423,0,,0,0,0,3.8,1.7,16,0.0000202266421536096,1,4.41562876400609,CIRCLE,5,97,1,0.4,0.640312423743285,0,0,cyclicDep,158141,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,28.9811565018844,3.43943049696819,0,CONTAINER,PACKAGE,"[org.apache.log4j.helpers, org.apache.log4j.or, org.apache.log4j.spi]",55202;54664;55807,0,,0,0,0,4,2,5,0.0000153488295776216,1,3.43943049696819,CIRCLE,3,71,1,0,0,0,0,cyclicDep,158150,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,49.6204429264424,4.98704215509861,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.log4j.helpers, org.apache.log4j.or, org.apache.log4j, org.apache.log4j.spi]",55202;54664;55462;54440;54843;55618,0,,0,0,0,3.83333333333333,2.06666666666667,21,0.0000751754676085859,1,4.98704215509861,CIRCLE,6,99,1,0.372677996249965,0.771722460186015,0,0,cyclicDep,158163,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,60.7556168732364,5.15322416477567,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.log4j.helpers, org.apache.log4j.or, org.apache.log4j, org.apache.log4j.spi]",55122;55202;54664;55462;54440;54843;54298,0,,0,0,0,4.14285714285714,2.66666666666667,25,0.0000822847157203138,1,5.15322416477567,CIRCLE,7,139,1,0.832993127835043,1.39158468535262,0,0,cyclicDep,158173,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,157.128109785268,10.2571848885634,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.log4j.or, org.apache.log4j, org.apache.log4j.spi]",54626;55122;55202;54664;55462;54440;54843;54353,0,,0,0,0,4.25,2.75,31,0.0000904159756160978,1,5.92198845653983,CIRCLE,8,704,3,0.82915619758885,1.4047114599498,0,0,cyclicDep,158184,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,149.09527770259,9.83105147926101,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.appender, org.apache.log4j.or, org.apache.log4j, org.apache.log4j.spi]",55138;54626;55122;55202;54664;55462;54440;54843;54388,0,,0,0,0,4.44444444444445,2.94444444444444,37,0.0000849802818580667,1,6.9516031671795,CIRCLE,9,460,2,0.955813918560292,1.48967640864355,0,0,cyclicDep,158196,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,152.024666216658,9.45548445197866,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.appender, org.apache.log4j.or, org.apache.logging.log4j.core.appender.rolling, org.apache.log4j, org.apache.log4j.spi]",54597;55138;54626;55122;55202;54664;55462;54440;54843;54501,0,,0,0,0,4.7,3.31111111111111,42,0.0000790016034082367,1,6.68603717539808,CIRCLE,10,517,2,1.18743420870379,1.63057211803059,0,0,cyclicDep,158215,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,107.756330595734,7.27320002811741,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling]",54597;55138;54561,0,,0,0,0,6,3.33333333333333,5,0.0000713410080133902,1,5.14292906080801,CIRCLE,3,439,2,0.816496580927726,0.942809041582063,0,0,cyclicDep,158229,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,205.169260962406,15.2501110663214,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.log4j.or, org.apache.logging.log4j.core.appender.rolling, org.apache.log4j, org.apache.log4j.spi]",54437;54597;55138;54626;55122;55202;54664;55462;54440;54843;55234,0,,0,0,0,5,3.78181818181818,47,0.0000725114169796576,1,6.82005700174329,CIRCLE,11,905,5,1.47709789175199,1.86538720417172,0,0,cyclicDep,158242,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,175.765709200779,12.7262918180547,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.appender.rolling]",54437;54597;55138;54689,0,,0,0,0,6.5,4.33333333333333,8,0.0000554081441835093,1,6.36314590902733,CIRCLE,4,763,4,1.1180339887499,1.37436854187255,0,0,cyclicDep,158257,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,154.315497370866,12.174374334163,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.appender.rolling]",54437;55012,0,,0,0,0,7.5,6,2,0.0000164015250268164,1,7.02887829904427,TINY,2,482,3,0.5,0,0,0,cyclicDep,158265,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,252.065468627894,16.7056596709668,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.log4j.bridge, org.apache.logging.log4j, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.log4j.or, org.apache.logging.log4j.core.appender.rolling, org.apache.log4j, org.apache.log4j.spi]",54910;54437;54597;55138;54626;55122;55202;54664;55462;54440;54843;54293,0,,0,0,0,5.08333333333333,3.78787878787879,60,0.0000763171751239532,1,6.82005700174329,CIRCLE,12,1366,6,1.44096803881588,1.80500274082854,0,0,cyclicDep,158271,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,257.598904636519,15.9231980685445,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.appender.rolling]",54910;54437;54597;55138;54478,0,,0,0,0,6.4,4,15,0.0000679626182890484,1,6.01840316659895,CIRCLE,5,1832,7,1.01980390271856,1.54919333848297,0,0,cyclicDep,158287,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,192.950038257392,13.3021549155391,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.appender.rolling]",54910;54437;54597;54618,0,,0,0,0,6.75,4.66666666666667,9,0.0000481195741396641,1,5.94890452767567,CIRCLE,4,1052,5,0.82915619758885,1.49071198499986,0,0,cyclicDep,158296,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,205.55598188221,14.8579589105033,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.mom, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.logging.log4j.core.appender.rolling.action, org.apache.log4j.or, org.apache.logging.log4j.core.appender.rolling, org.apache.log4j, org.apache.log4j.spi]",55743;54910;54437;54597;55138;54626;55122;55202;54664;55462;54440;54843;54781,0,,0,0,0,5.23076923076923,3.93589743589744,66,0.0000710870671164507,1,6.64468122615681,CIRCLE,13,957,5,1.47564046871161,1.76388080001459,0,0,cyclicDep,158304,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,182.633674507468,12.6254865530243,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.appender.mom]",55743;54910;54437;54597;55138;54935,0,,0,0,0,6.5,4.13333333333333,19,0.000058023143745277,1,6.31274327651214,CIRCLE,6,837,4,0.957427107756338,1.35973853695808,0,0,cyclicDep,158321,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,187.00544006536,12.8892661181433,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.appender.mom]",55743;54910;54437;54597;54792,0,,0,0,0,6.8,4.6,12,0.0000401608135170153,1,6.44463305907167,CIRCLE,5,842,4,0.748331477354788,1.28062484748657,0,0,cyclicDep,158331,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,149.589295064037,10.8906280902489,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.appender.mom]",55082;55743;54910;54437;54559,0,,0,0,0,7,4.8,12,0.0000475169747174947,1,6.2877070595493,CIRCLE,5,566,3,0.632455532033676,0.979795897113271,0,0,cyclicDep,158346,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,212.809362225985,15.2709521869239,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.mom, org.apache.log4j.bridge, org.apache.logging.log4j, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.appender.rolling.action, org.apache.log4j.or, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.log4j, org.apache.log4j.spi]",54528;55082;55743;54910;54437;54597;55138;54626;55122;55202;54664;55462;54440;54843;55659,0,,0,0,0,5.53333333333333,4.12380952380952,80,0.0000682575998304082,1,6.8293774342222,CIRCLE,15,971,5,1.58605030044938,1.77654152026983,0,0,cyclicDep,158355,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,187.133887643028,12.8297341011586,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.appender.mom]",54528;55082;55743;54910;54437;54597;55138;55113,0,,0,0,0,6.75,4.03571428571429,30,0.0000559838734267408,1,6.4148670505793,CIRCLE,8,851,4,0.968245836551854,1.40107466042379,0,0,cyclicDep,158374,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,57.7965921243857,5.83833746008945,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.mom]",54528;55082;55743;54573,0,,0,0,0,7,4.16666666666667,7,0.0000565596026699723,1,5.83833746008945,CIRCLE,4,98,1,0.707106781186548,0.897527467855751,0,0,cyclicDep,158386,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,99.7857168980455,6.68214584396926,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config.plugins]",54528;54888,0,,0,0,0,7.5,6,2,0.0000498660624711322,1,6.68214584396926,TINY,2,223,1,0.5,0,0,0,cyclicDep,158394,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,220.759094396292,15.6965952653923,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.appender.mom, org.apache.logging.log4j, org.apache.log4j.bridge, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.appender.rolling.action, org.apache.log4j.or, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.log4j, org.apache.log4j.spi]",55401;54528;55082;55743;54910;54437;54597;55138;54626;55122;55202;54664;55462;54440;54843;54334,0,,0,0,0,5.6875,4.2,86,0.0000649160512867934,1,7.01973080574371,CIRCLE,16,989,5,1.64767829080801,1.80092568789868,0,0,cyclicDep,158400,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,195.77762842368,13.3909072390178,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.appender.mom]",55401;54528;55082;55743;54910;54437;54597;55138;55657,0,,0,0,0,6.88888888888889,4,34,0.000051407090060722,1,6.69545361950891,CIRCLE,9,855,4,0.993807989999907,1.43372087784044,0,0,cyclicDep,158420,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,62.0699638450499,6.33498915722386,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.appender.mom]",55401;54528;55082;55743;54910;54993,0,,0,0,0,7.33333333333333,4.6,12,0.0000414401310843879,1,6.33498915722386,CIRCLE,6,96,1,0.74535599249993,1.49666295470958,0,0,cyclicDep,158433,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,42.1621234129498,5.39830673313979,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.config.plugins.convert]",55401;54528;55503,0,,0,0,0,7.66666666666667,4.33333333333333,4,0.0000381749826916119,1,5.39830673313979,CIRCLE,3,61,1,0.471404520791032,2.35702260395516,0,0,cyclicDep,158443,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,231.537740950589,16.3721906726776,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.util, org.apache.logging.log4j.core, org.apache.log4j.helpers, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.appender.mom, org.apache.log4j.bridge, org.apache.logging.log4j, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.appender.rolling.action, org.apache.log4j.or, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.config.plugins.util, org.apache.log4j, org.apache.log4j.spi]",55534;55401;54528;55082;55743;54910;54437;54597;55138;54626;55122;55202;54664;55462;54440;54843;54383,0,,0,0,0,5.82352941176471,4.25,98,0.0000629921402547215,1,7.32186625693901,CIRCLE,17,1000,5,1.68855295228321,1.80989924971465,0,0,cyclicDep,158450,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,185.607008017597,12.6804292329583,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.config.plugins.util, org.apache.logging.log4j.core.appender.mom]",55534;55401;54528;55082;55743;54910;54437;54597;55138;55711,0,,0,0,0,7,3.95555555555556,43,0.000049487337428807,1,6.34021461647913,CIRCLE,10,857,4,1,1.42914979473898,0,0,cyclicDep,158471,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,63.7328039187571,6.02218391163836,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.config.plugins.util, org.apache.logging.log4j.core.appender.mom]",55534;55401;54528;55082;55743;55034,0,,0,0,0,7.33333333333333,3.73333333333333,15,0.0000455401329256721,1,6.02218391163836,CIRCLE,6,112,1,0.74535599249993,1.4360439485692,0,0,cyclicDep,158485,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,38.100963169045,5.23356978788825,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.config.plugins.util]",55534;55401;54528;54782,0,,0,0,0,7.75,3.83333333333333,8,0.0000366836279541019,1,5.23356978788825,CIRCLE,4,53,1,0.433012701892219,2.19215773966098,0,0,cyclicDep,158495,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,195.212726713959,12.6804292329583,0,CONTAINER,PACKAGE,"[org.apache.logging.log4j.core.config.plugins.processor, org.apache.logging.log4j.core, org.apache.logging.log4j.core.config.plugins.visitors, org.apache.logging.log4j.core.config, org.apache.logging.log4j.core.appender, org.apache.logging.log4j.core.appender.rolling.action, org.apache.logging.log4j.core.config.plugins, org.apache.logging.log4j.core.appender.rolling, org.apache.logging.log4j.core.config.plugins.convert, org.apache.logging.log4j.core.config.plugins.util, org.apache.logging.log4j.core.appender.mom]",54912;55534;55401;54528;55082;55743;54910;54437;54597;55138;55151,0,,0,0,0,7.09090909090909,3.89090909090909,49,0.0000456748653844104,1,6.34021461647913,CIRCLE,11,948,4,0.995859195463938,1.43555788677468,0,0,cyclicDep,158503,smell
